date,cancel_events,gatherings_restrictions,infected,information_campaigns,internal_movement_restrictions,international_movement_restrictions,school_closing,stay_home_restrictions,stringency_index,susceptible,testing_policy,transport_closing,workplace_closing,confirmed,fatal,recovered,derived_reproduction_rate,kap_mortality_rate,rho_transmission_rate,sig_recovery_rate,t/k_mortality_period,t/r_infection_period,t/s_recovery_period,total_tests,new_tests,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,facial_coverings,vaccination_policy,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity,new_hospitalized_patients,cumulative_hospitalized_patients,current_hospitalized_patients,current_intensive_care_patients,new_confirmed,new_fatal,new_recovered,new_susceptible,total_removed
2020-02-25,0.0,0.0,45,0.0,0.0,3.0,0.0,0.0,8.33,326687456.0,1.0,0.0,0.0,45,0,0,30.692134408813267,0.00019571422581112118,0.008685783417712869,8.728282164149063e-05,212.8954422908333,4.797110941276301,477.3753401077041,2883.0,418.50000000000006,0.107,9.3,0.0,0.0,0.0,0.0,0.0,-13682.704607806441,-2.7047611736362396,-0.6521498439434925,4.0,1.0,9.0,2.0,2.0,0.0,0.0,0.0,1.123457,-1.487654,8.296296,1.128889,0.0,-3.222222,73.446014,0.0,0.0,0.0,0.0,2,0,0,-2.0,0
2020-02-26,0.0,0.0,60,0.0,0.0,3.0,0.0,0.0,8.33,326687441.0,1.0,0.0,0.0,60,0,0,30.231196136866853,0.00019919752010042675,0.008660643400556549,8.728282164149063e-05,209.17261743851097,4.811035940353934,477.3753401077041,3441.0,558.0,0.107,9.3,0.0,0.0,0.0,0.0,0.0,-13679.096027621774,-2.6602222430977855,-0.47077489509612647,7.0,2.0,5.0,3.0,2.0,-1.0,0.0,0.0,-2.203704,-7.753086,2.888889,0.479778,0.0,-7.611111,66.838519,0.0,0.0,0.0,0.0,15,0,0,-15.0,0
2020-02-27,0.0,0.0,60,0.0,0.0,3.0,0.0,0.0,8.33,326687441.0,1.0,0.0,0.0,60,0,0,29.77964957000337,0.00020253093056133686,0.008630551981167994,8.728282164149063e-05,205.72989296589364,4.827810174550135,477.3753401077041,3999.0,558.0,0.107,9.3,0.0,0.0,0.0,0.0,0.0,-13662.506657780608,-2.614622619248823,-0.30186991071807473,8.0,3.0,12.0,4.0,2.0,0.0,0.0,0.0,0.41358,-4.283951,7.067901,0.0,0.0,-4.234568,71.278011,0.0,0.0,0.0,0.0,0,0,0,0.0,0
2020-02-28,0.0,0.0,65,0.0,0.0,3.0,0.0,0.0,8.33,326687436.0,1.0,0.0,0.0,65,0,0,29.33648119093177,0.0002057144571938515,0.008595509159547205,8.728282164149063e-05,202.54612745764774,4.847492556085134,477.3753401077041,4603.5,604.5,0.107,9.3,0.0,0.0,0.0,0.0,0.0,-13640.897296695539,-2.5692762116526002,-0.1500541609016751,8.0,3.0,10.0,5.0,2.0,-1.0,0.0,0.0,3.67284,-2.604938,13.932099,0.479778,0.0,-3.185185,60.969144,0.0,0.0,0.0,0.0,5,0,0,-5.0,0
2020-02-29,0.0,0.0,69,0.0,0.0,3.0,0.0,0.0,8.33,326687431.0,1.0,0.0,0.0,70,1,0,28.900747558101454,0.00020874809999797063,0.008555514935694182,8.728282164149063e-05,199.60261514749945,4.870152992525387,477.3753401077041,5254.5,651.0,0.107,9.3,0.0,0.0,0.0,0.0,0.0,-13615.594744102005,-2.524402005236326,-0.016097523995650183,12.0,7.0,21.0,7.0,4.0,-2.0,0.0,0.0,6.820988,-2.530864,20.148148,0.0,0.0,-3.41358,48.219656,0.0,0.0,0.0,0.0,5,1,0,-5.0,1
2020-03-01,1.0,0.0,85,0.0,0.0,3.0,0.0,0.0,11.11,326687413.0,1.0,0.0,0.0,88,3,0,28.471566843400417,0.00021163185897369433,0.008510569309608924,8.728282164149063e-05,196.8827702441805,4.8958730198721945,477.3753401077041,348.0,348.0,0.107,9.3,0.0,0.0,0.0,0.0,0.0,-13586.599,-2.48,0.1,13.0,9.0,18.0,7.0,3.0,-1.0,0.0,0.0,8.549383,0.518519,17.185185,0.0,0.0,-1.62963,48.894765,0.0,0.0,0.0,0.0,18,2,0,-18.0,3
2020-03-02,1.0,0.0,98,0.0,0.0,3.0,0.0,0.0,11.11,326687397.0,1.0,0.0,0.0,104,6,0,28.048111352313217,0.0002143657341210226,0.008460672281291434,8.728282164149063e-05,194.37186095769988,4.924746554573638,477.3753401077041,863.0,515.0,0.107,9.3,0.0,0.0,0.0,0.0,0.0,-13553.910064389525,-2.436070195943622,0.19823841108527535,7.0,6.0,10.0,2.0,3.0,-1.0,0.0,0.0,3.746914,-1.907407,12.080247,0.564444,0.0,-2.382716,64.492068,0.0,0.0,0.0,0.0,16,3,0,-16.0,6
2020-03-03,1.0,0.0,100,0.0,0.0,3.0,0.0,0.0,11.11,326687376.0,1.0,0.0,0.0,125,10,15,27.62960088057702,0.0002169497254399553,0.008405823850741708,8.728282164149063e-05,192.0567845023554,4.956880777722949,477.3753401077041,1480.0,617.0,0.107,9.3,0.0,0.0,0.0,0.0,0.0,-13517.527937270579,-2.3926125930671924,0.2786177092601759,11.0,10.0,20.0,3.0,2.0,-1.0,0.0,0.0,6.41358,-1.679012,16.777778,0.084667,0.0,-3.820988,48.064374,0.0,0.0,0.0,0.0,21,4,15,-21.0,25
2020-03-04,1.0,0.0,134,0.0,0.0,3.0,0.0,0.0,11.11,326687340.0,1.0,0.0,0.0,161,12,15,27.215296784087432,0.00021938383293049267,0.008346024017959749,8.728282164149063e-05,189.92587607796926,4.992397167442182,477.3753401077041,2369.0,889.0,0.107,9.3,0.0,0.0,0.0,0.0,0.0,-13477.452618643169,-2.3496271913707107,0.34113789452470167,8.0,6.0,17.0,2.0,3.0,-1.0,0.0,0.0,8.666667,-1.351852,17.864198,0.0,0.0,-2.975309,43.923706,0.0,4.0,0.0,0.0,36,2,0,-36.0,27
2020-03-05,1.0,0.0,191,0.0,0.0,3.0,3.0,0.0,20.37,326687273.0,1.0,0.0,0.0,228,12,25,26.804496657458763,0.00022166805659263447,0.008281272782945555,8.728282164149063e-05,187.9687461835724,5.03143269866378,477.3753401077041,3572.0,1203.0,0.107,9.3,0.0,0.0,0.0,0.0,0.0,-13434.418365057312,-2.3072689378667435,0.38676575246091277,8.0,7.0,21.0,2.0,3.0,-1.0,0.0,0.0,8.802469,1.074074,16.333333,0.0,0.0,-5.716049,35.40278,1.0,5.0,0.0,0.0,67,0,10,-67.0,37
